# 데이터를 변경하려면:
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.
#     다운로드한 파일 이름을 library_book_data.tsv 으로 변경합니다.
#     테스트할 기기의 Documents/Books에 tsv 파일과 thumbnail을 복사해 넣습니다.
#          Category field는 코드에서 사용하는 부분이기 때문에 한번 추가 되면 변경하지 마시고 categoryname을 변경해주시기 바랍니다
#id	category	categoryname	title	author	thumbnail	foldername
en_a	cate_1	ABC Readers	Aa	Pam Vachatimanont and Emily Eshman	book_en_a.jpg	en_a
en_b	cate_1	ABC Readers	Bb	Pam Vachatimanont and Emily Eshman	book_en_b.jpg	en_b
en_c	cate_1	ABC Readers	Ch	Pam Vachatimanont and Emily Eshman	book_en_c.jpg	en_c
en_d	cate_1	ABC Readers	Dd	Pam Vachatimanont and Emily Eshman	book_en_d.jpg	en_d
en_e	cate_1	ABC Readers	Ee	Pam Vachatimanont and Emily Eshman	book_en_e.jpg	en_e
en_f	cate_1	ABC Readers	Ff	Pam Vachatimanont and Emily Eshman	book_en_f.jpg	en_f
en_g	cate_1	ABC Readers	Gg	Pam Vachatimanont and Emily Eshman	book_en_g.jpg	en_g
en_h	cate_1	ABC Readers	Hh	Pam Vachatimanont and Emily Eshman	book_en_h.jpg	en_h
en_i	cate_1	ABC Readers	Ii	Pam Vachatimanont and Emily Eshman	book_en_i.jpg	en_i
en_j	cate_1	ABC Readers	Jj	Pam Vachatimanont and Emily Eshman	book_en_j.jpg	en_j
en_k	cate_1	ABC Readers	Kk	Pam Vachatimanont and Emily Eshman	book_en_k.jpg	en_k
en_l	cate_1	ABC Readers	Ll	Pam Vachatimanont and Emily Eshman	book_en_l.jpg	en_l
en_m	cate_1	ABC Readers	Mm	Pam Vachatimanont and Emily Eshman	book_en_m.jpg	en_m
en_n	cate_1	ABC Readers	Nn	Pam Vachatimanont and Emily Eshman	book_en_n.jpg	en_n
en_o	cate_1	ABC Readers	Oo	Pam Vachatimanont and Emily Eshman	book_en_o.jpg	en_o
