# 데이터를 변경하려면:
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.
#     다운로드한 파일 이름을 library_book_data.tsv 으로 변경합니다.
#     테스트할 기기의 Documents/Books에 tsv 파일과 thumbnail을 복사해 넣습니다.
#          Category field는 코드에서 사용하는 부분이기 때문에 한번 추가 되면 변경하지 마시고 categoryname을 변경해주시기 바랍니다
#id	category	categoryname	title	author	thumbnail	foldername
sw_a	cate_1	Vitabu ya ABC	Aa	Philippa Kim and Yeongji Choi	book_sw_a.jpg	sw_a
sw_b	cate_1	Vitabu ya ABC	Bb	Philippa Kim and Yeongji Choi	book_sw_b.jpg	sw_b
sw_ch	cate_1	Vitabu ya ABC	Ch	Philippa Kim and Yeongji Choi	book_sw_ch.jpg	sw_ch
sw_d	cate_1	Vitabu ya ABC	Dd	Philippa Kim and Yeongji Choi	book_sw_d.jpg	sw_d
sw_e	cate_1	Vitabu ya ABC	Ee	Philippa Kim and Yeongji Choi	book_sw_e.jpg	sw_e
sw_f	cate_1	Vitabu ya ABC	Ff	Philippa Kim and Yeongji Choi	book_sw_f.jpg	sw_f
sw_g	cate_1	Vitabu ya ABC	Gg	Philippa Kim and Yeongji Choi	book_sw_g.jpg	sw_g
sw_h	cate_1	Vitabu ya ABC	Hh	Philippa Kim and Yeongji Choi	book_sw_h.jpg	sw_h
sw_i	cate_1	Vitabu ya ABC	Ii	Philippa Kim and Yeongji Choi	book_sw_i.jpg	sw_i
sw_j	cate_1	Vitabu ya ABC	Jj	Philippa Kim and Yeongji Choi	book_sw_j.jpg	sw_j
sw_k	cate_1	Vitabu ya ABC	Kk	Philippa Kim and Yeongji Choi	book_sw_k.jpg	sw_k
sw_l	cate_1	Vitabu ya ABC	Ll	Philippa Kim and Yeongji Choi	book_sw_l.jpg	sw_l
sw_m	cate_1	Vitabu ya ABC	Mm	Philippa Kim and Yeongji Choi	book_sw_m.jpg	sw_m
sw_n	cate_1	Vitabu ya ABC	Nn	Philippa Kim and Yeongji Choi	book_sw_n.jpg	sw_n
sw_o	cate_1	Vitabu ya ABC	Oo	Philippa Kim and Yeongji Choi	book_sw_o.jpg	sw_o
